o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
04,34,1529,33.17,-111.719,40.486,-74.407
25,53,935,42.315,-71.307,47.503,-121.907
24,31,204,39.211,-76.999,40.995,-98.063
21,09,473,37.91,-85.184,41.5,-72.846
41,38,164,44.654,-122.269,47.478,-99.818
05,42,1449,35.181,-92.837,40.618,-77.395
05,56,611,35.308,-92.955,42.365,-107.729
38,27,33949,47.199,-97.87,46.09,-94.924
09,12,15421,41.453,-72.93,27.41,-81.35
06,55,3700,36.136,-119.59,43.634,-89.034
51,51,8018055,37.709,-77.732,37.729,-77.681
23,44,886,44.1,-69.963,41.747,-71.452
23,50,772,44.024,-69.927,44.118,-72.712
01,34,2676,32.985,-86.882,40.337,-74.435
47,38,226,35.915,-86.576,47.525,-99.257
16,28,254,44.379,-115.597,32.18,-89.392
17,21,25418,39.437,-88.584,37.489,-86.966
54,01,938,38.813,-80.581,33.214,-86.696
39,01,5259,40.269,-82.969,32.999,-86.905
47,44,247,36.048,-85.568,41.73,-71.418
23,17,370,44.329,-69.629,41.29,-88.378
51,02,160,37.742,-77.5,60.857,-148.711
11,21,160,38.913,-77.04,38.061,-85.207
40,31,2389,35.719,-97.0,41.123,-97.836
42,53,1401,40.392,-76.913,47.393,-121.666
40,25,296,35.701,-96.884,42.236,-71.397
23,46,64,43.894,-69.898,43.819,-100.243
21,24,1784,38.024,-84.788,39.259,-77.06
01,22,20646,31.986,-87.292,30.454,-90.956
50,26,223,44.207,-72.713,43.369,-84.872
29,16,853,37.972,-93.089,44.276,-115.008
26,51,4373,42.789,-84.296,37.891,-77.928
19,42,989,41.954,-93.067,40.53,-77.387
11,37,1010,38.906,-77.012,35.576,-79.503
40,27,1892,35.663,-96.464,45.217,-93.535
40,33,118,35.909,-96.542,43.239,-71.544
11,23,86,38.911,-77.02,43.772,-70.196
44,45,307,41.782,-71.466,33.752,-80.63
34,32,1181,40.339,-74.495,36.634,-115.77
29,45,2858,38.321,-92.317,33.782,-80.768
04,72,250,33.285,-111.834,18.342,-66.357
40,08,11894,35.597,-97.069,39.223,-105.374
32,09,276,36.56,-115.595,41.458,-72.944
47,10,423,35.945,-85.259,39.378,-75.564
50,18,109,44.161,-72.953,40.221,-86.072
42,28,1404,40.51,-77.49,32.182,-89.474
38,34,133,47.407,-98.273,40.359,-74.592
44,13,636,41.69,-71.412,33.192,-83.819
24,22,1239,39.0,-76.786,30.515,-91.063
20,54,271,38.388,-96.138,38.796,-80.758
01,33,343,33.32,-86.823,43.037,-71.264
49,19,935,40.558,-111.805,41.606,-93.24
20,28,1339,38.34,-96.672,32.563,-89.482
17,32,6455,41.466,-88.232,36.559,-115.584
51,05,2528,37.722,-77.839,35.127,-92.605
31,34,251,41.127,-97.042,40.382,-74.538
21,72,116,38.083,-85.561,18.395,-66.308
44,23,968,41.718,-71.442,44.021,-70.096
15,27,326,21.136,-157.372,45.064,-93.416
44,37,578,41.698,-71.463,35.525,-79.306
38,10,15,47.016,-97.141,39.728,-75.702
55,10,124,43.323,-89.082,39.151,-75.46
45,42,9542,33.882,-80.611,40.409,-77.125
53,04,16205,47.294,-121.551,33.405,-112.146
12,46,1372,28.24,-82.367,43.865,-99.431
33,21,331,43.218,-71.384,38.133,-85.365
48,34,6250,31.002,-97.22,40.432,-74.441
40,29,40124,35.954,-96.078,37.385,-93.422
72,30,6,18.489,-67.131,46.077,-113.592
72,24,278,18.352,-66.324,39.117,-76.755
23,34,1200,44.41,-69.552,40.499,-74.409
51,35,999,37.822,-77.797,34.558,-106.632
02,47,426,61.235,-146.984,35.744,-86.386
20,23,158,38.502,-95.981,44.904,-69.157
11,16,44,38.905,-77.012,44.054,-114.616
09,15,304,41.43,-72.933,21.037,-157.369
13,38,339,32.966,-83.835,47.077,-98.63
36,06,15477,41.401,-74.548,35.21,-119.212
21,21,5565679,37.85,-85.327,37.875,-85.348
36,29,2897,41.509,-74.67,38.453,-92.257
35,42,320,34.279,-105.502,40.492,-76.913
37,20,2697,35.444,-79.56,38.383,-96.777
37,34,10171,35.574,-79.377,40.389,-74.476
45,21,4880,34.026,-81.095,37.884,-85.15
46,22,390,44.199,-98.86,31.183,-92.337
46,36,241,43.939,-99.127,41.802,-75.225
13,44,278,33.261,-83.274,41.684,-71.461
42,40,1495,40.545,-76.921,35.533,-97.071
12,25,14192,27.466,-81.56,42.243,-71.281
05,39,2502,35.239,-92.584,40.39,-82.979
33,56,35,43.081,-71.472,43.193,-109.551
39,29,6700,40.155,-83.288,38.37,-91.775
45,34,9810,33.865,-80.674,40.386,-74.45
32,19,992,37.032,-116.017,41.572,-92.475
54,13,2272,38.666,-80.845,33.382,-83.807
39,13,16436,40.264,-83.022,33.356,-83.879
30,40,505,46.572,-111.103,35.644,-97.055
30,54,19,46.887,-111.471,39.142,-81.001
20,06,5261,38.554,-96.492,35.331,-119.016
32,36,1334,36.392,-115.534,41.356,-74.85
42,55,2083,40.566,-77.144,43.669,-89.129
72,01,114,18.311,-66.465,32.946,-86.862
12,24,15573,28.012,-81.707,39.141,-76.759
37,72,650,35.364,-79.755,18.31,-66.274
25,42,5178,42.263,-71.433,40.361,-76.28
04,31,2172,33.429,-111.945,41.109,-97.469
01,09,814,33.09,-86.931,41.511,-72.852
